id,word,total num,low num,mid num,hig num,,,word,total num,low num,mid num,hig num,,,
91,people,12177,4841,4570,2766,,,,,,,,,,
92,first,11886,4006,4679,3201,,,,,,,,,,
93,lunch,11804,3646,5501,2657,,,,,,,,,,
94,know,11655,4258,4349,3048,,,,,,,,,,
95,night,11478,3679,4865,2934,,,,,,,,,,
96,delicious,11384,1642,5506,4236,,,,,,,,,,
97,went,11325,4180,4524,2621,,,,,,,,,,
98,salad,11170,3693,4733,2744,,,,,,,,,,
99,came,11063,4727,4144,2192,,,,,,,,,,
100,over,11056,4386,4113,2557,,,,,,,,,,
101,am,10920,3487,4361,3072,,,,,,,,,,
102,pizza,10895,3422,4419,3054,,,,,,,,,,
103,way,10883,4156,4076,2651,,,,,,,,,,
104,make,10543,3451,4156,2936,,,,,,,,,,
105,better,10539,4882,3499,2158,,,,,,,,,,
106,two,10430,3946,3948,2536,,,,,,,,,,
107,sauce,10400,3653,4355,2392,,,,,,,,,,
108,happy,10398,2901,4915,2582,,,,,,,,,,
109,then,10320,4329,3589,2402,,,,,,,,,,
110,come,10207,3609,4090,2508,,,,,,,,,,
111,off,10165,4004,3854,2307,,,,,,,,,,
112,how,10116,3656,3665,2795,,,,,,,,,,
113,going,9942,3696,3802,2444,,,,,,,,,,
114,never,9896,3290,3621,2985,,,,,,,,,,
115,few,9806,3413,4232,2161,,,,,,,,,,
116,right,9783,2983,4052,2748,,,,,,,,,,
117,fresh,9777,2067,4464,3246,,,,,,,,,,
118,made,9564,2929,3927,2708,,,,,,,,,,
119,say,9548,3515,3583,2450,,,,,,,,,,
120,want,9538,3518,3518,2502,,,,,,,,,,
121,now,9291,2969,3482,2840,,,,,,,,,,
122,still,9265,3412,3838,2015,,,,,,,,,,
123,see,9260,3390,3618,2252,,,,,,,,,,
124,again,9183,3800,3312,2071,,,,,,,,,,
125,who,9163,3464,3292,2407,,,,,,,,,,
126,eat,9105,3143,3530,2432,,,,,,,,,,
127,table,9028,3951,3292,1785,,,,,,,,,,
128,while,9024,3262,3658,2104,,,,,,,,,,
129,bit,8990,3266,4062,1662,,,,,,,,,,
130,wait,8964,2853,3412,2699,,,,,,,,,,
131,before,8921,3371,3425,2125,,,,,,,,,,
132,something,8872,3463,3348,2061,,,,,,,,,,
133,definitely,8820,2144,4397,2279,,,,,,,,,,
134,friendly,8781,2011,4106,2664,,,,,,,,,,
135,sure,8745,2992,3626,2127,,,,,,,,,,
136,around,8726,3079,3434,2213,,,,,,,,,,
137,dinner,8561,2591,3616,2354,,,,,,,,,,
138,hour,8529,2982,3787,1760,,,,,,,,,,
139,meal,8525,2854,3353,2318,,,,,,,,,,
140,down,8515,3293,3033,2189,,,,,,,,,,
141,any,8462,3323,3036,2103,,,,,,,,,,
142,since,8430,2904,3496,2030,,,,,,,,,,
143,drinks,8428,3143,3432,1853,,,,,,,,,,
144,day,8308,2308,3491,2509,,,,,,,,,,
145,though,8278,3237,3467,1574,,,,,,,,,,
146,ca,8117,2246,3133,2738,,,,,,,,,,
147,side,8086,2685,3650,1751,,,,,,,,,,
148,next,8006,2438,3484,2084,,,,,,,,,,
149,most,7946,2539,3238,2169,,,,,,,,,,
150,thing,7823,2856,3076,1891,,,,,,,,,,
151,beer,7823,2527,3356,1940,,,,,,,,,,
152,times,7821,2626,3287,1908,,,,,,,,,,
153,last,7813,2703,3034,2076,,,,,,,,,,
154,burger,7806,2713,3435,1658,,,,,,,,,,
155,amazing,7723,1106,2680,3937,,,,,,,,,,
156,sweet,7718,2030,3388,2300,,,,,,,,,,
157,experience,7712,2942,2803,1967,,,,,,,,,,
158,everything,7707,1918,2997,2792,,,,,,,,,,
159,new,7689,2085,3063,2541,,,,,,,,,,
160,drink,7687,2952,3062,1673,,,,,,,,,,
161,many,7606,2422,3058,2126,,,,,,,,,,
162,take,7569,2586,2984,1999,,,,,,,,,,
163,sandwich,7553,2461,3364,1728,,,,,,,,,,
164,tasty,7540,2080,3781,1679,,,,,,,,,,
165,big,7534,2433,3255,1846,,,,,,,,,,
166,small,7477,2630,3153,1694,,,,,,,,,,
167,staff,7467,2094,3050,2323,,,,,,,,,,
168,find,7462,2310,3054,2098,,,,,,,,,,
169,area,7411,2371,3289,1751,,,,,,,,,,
170,both,7355,2116,3251,1988,,,,,,,,,,
171,into,7353,2533,2892,1928,,,,,,,,,,
172,wine,7337,1747,3015,2575,,,,,,,,,,
173,every,7268,1768,2618,2882,,,,,,,,,,
174,said,7247,3443,2392,1412,,,,,,,,,,
175,lot,7194,2602,3009,1583,,,,,,,,,,
176,give,7194,3226,2543,1425,,,,,,,,,,
177,favorite,7152,1080,2982,3090,,,,,,,,,,
178,where,7124,2574,2762,1788,,,,,,,,,,
179,hot,7087,2243,3073,1771,,,,,,,,,,
180,ever,7080,2038,2259,2783,,,,,,,,,,
181,another,7079,3227,2425,1427,,,,,,,,,,
182,bad,7047,3743,2220,1084,,,,,,,,,,
183,fries,7007,2486,3113,1408,,,,,,,,,,
184,being,7000,2714,2686,1600,,,,,,,,,,
185,bread,6883,2245,2884,1754,,,,,,,,,,
186,tried,6867,2106,2881,1880,,,,,,,,,,
187,awesome,6807,1112,2898,2797,,,,,,,,,,
188,enough,6666,2408,2604,1654,,,,,,,,,,
189,stars,6651,2962,2418,1271,,,,,,,,,,
190,does,6480,2500,2368,1612,,,,,,,,,,
191,location,6279,2085,2592,1602,,,,,,,,,,
192,flavor,6274,2447,2317,1510,,,,,,,,,,
193,server,6264,2991,2126,1147,,,,,,,,,,
194,atmosphere,6251,1837,2763,1651,,,,,,,,,,
195,friend,6200,2251,2520,1429,,,,,,,,,,
196,should,6145,2885,2093,1167,,,,,,,,,,
197,things,6105,2117,2482,1506,,,,,,,,,,
198,taste,6073,2444,2254,1375,,,,,,,,,,
199,feel,6068,1971,2440,1657,,,,,,,,,,
200,places,6052,2042,2364,1646,,,,,,,,,,
201,phoenix,6010,1417,2401,2192,,,,,,,,,,
202,friends,5981,1858,2456,1667,,,,,,,,,,
203,patio,5978,1831,2754,1393,,,,,,,,,,
204,breakfast,5950,1653,2680,1617,,,,,,,,,,
205,long,5872,2151,2294,1427,,,,,,,,,,
206,perfect,5872,757,2672,2443,,,,,,,,,,
207,cool,5862,1682,2675,1505,,,,,,,,,,
208,different,5771,1746,2492,1533,,,,,,,,,,
209,prices,5752,2027,2397,1328,,,,,,,,,,
210,meat,5653,1986,2310,1357,,,,,,,,,,
211,maybe,5628,2957,1860,811,,,,,,,,,,
212,those,5576,1844,2353,1379,,,,,,,,,,
213,home,5556,1678,2257,1621,,,,,,,,,,
214,huge,5537,1484,2505,1548,,,,,,,,,,
215,minutes,5506,3111,1561,834,,,,,,,,,,
216,nothing,5495,3150,1497,848,,,,,,,,,,
217,selection,5490,1415,2536,1539,,,,,,,,,,
218,dish,5467,2013,2144,1310,,,,,,,,,,
219,actually,5462,2134,2029,1299,,,,,,,,,,
220,coffee,5450,1385,2445,1620,,,,,,,,,,
221,worth,5441,1676,2150,1615,,,,,,,,,,
222,thought,5432,2419,1991,1022,,,,,,,,,,
223,took,5415,2397,1924,1094,,,,,,,,,,
224,probably,5392,2316,1991,1085,,,,,,,,,,
225,old,5376,1808,2215,1353,,,,,,,,,,
226,special,5335,1848,1988,1499,,,,,,,,,,
227,ok,5324,3293,1419,612,,,,,,,,,,
228,inside,5319,1723,2282,1314,,,,,,,,,,
229,full,5314,1506,2272,1536,,,,,,,,,,
230,quite,5271,1773,2391,1107,,,,,,,,,,
231,fun,5242,1327,2526,1389,,,,,,,,,,
232,looking,5225,1748,2259,1218,,,,,,,,,,
233,kind,5207,2197,2000,1010,,,,,,,,,,
234,enjoy,5203,1441,2343,1419,,,,,,,,,,
235,price,5109,2156,1890,1063,,,,,,,,,,
236,rice,5093,1840,2102,1151,,,,,,,,,,
237,visit,5092,1538,2108,1446,,,,,,,,,,
238,need,5079,1684,2037,1358,,,,,,,,,,
239,why,5075,2416,1646,1013,,,,,,,,,,
240,top,5013,1390,1897,1726,,,,,,,,,,
241,sushi,5009,1962,1923,1124,,,,,,,,,,
242,spot,4977,1267,2342,1368,,,,,,,,,,
243,same,4956,2132,1746,1078,,,,,,,,,,
244,cream,4955,1338,2029,1588,,,,,,,,,,
245,beef,4940,1586,2139,1215,,,,,,,,,,
246,parking,4918,1473,2273,1172,,,,,,,,,,
247,wanted,4910,2274,1719,917,,,,,,,,,,
248,large,4895,1447,2306,1142,,,,,,,,,,
249,once,4890,1721,1915,1254,,,,,,,,,,
250,outside,4890,1507,2153,1230,,,,,,,,,,
251,these,4842,1600,1885,1357,,,,,,,,,,
252,each,4832,1408,1987,1437,,,,,,,,,,
253,spicy,4794,1410,2209,1175,,,,,,,,,,
254,away,4767,1819,1751,1197,,,,,,,,,,
255,check,4724,1655,1861,1208,,,,,,,,,,
256,oh,4719,1441,1794,1484,,,,,,,,,,
257,served,4719,1568,1914,1237,,,,,,,,,,
258,however,4716,2257,1788,671,,,,,,,,,,
259,review,4649,1754,1614,1281,,,,,,,,,,
260,!!,4649,835,1788,2026,,,,,,,,,,
261,super,4634,1195,1913,1526,,,,,,,,,,
262,house,4607,1291,1950,1366,,,,,,,,,,
263,excellent,4587,745,2155,1687,,,,,,,,,,
264,decided,4569,1764,1865,940,,,,,,,,,,
265,pork,4546,1287,2099,1160,,,,,,,,,,
266,half,4543,1732,1816,995,,,,,,,,,,
267,items,4509,1338,2054,1117,,,,,,,,,,
268,enjoyed,4506,1125,2307,1074,,,,,,,,,,
269,anything,4469,1851,1511,1107,,,,,,,,,,
270,town,4455,1171,1877,1407,,,,,,,,,,
271,asked,4446,2492,1281,673,,,,,,,,,,
272,couple,4445,1632,1814,999,,,,,,,,,,
273,room,4429,1384,1792,1253,,,,,,,,,,
274,fried,4412,1420,1903,1089,,,,,,,,,,
275,usually,4403,1261,1947,1195,,,,,,,,,,
276,soup,4390,1468,1836,1086,,,,,,,,,,
277,look,4389,1539,1766,1084,,,,,,,,,,
278,red,4358,1187,1901,1270,,,,,,,,,,
279,found,4344,1349,1842,1153,,,,,,,,,,
280,quality,4319,1591,1559,1169,,,,,,,,,,
281,let,4304,1608,1545,1151,,,,,,,,,,
282,scottsdale,4286,1329,1812,1145,,,,,,,,,,
283,loved,4261,834,1973,1454,,,,,,,,,,
284,work,4258,1370,1749,1139,,,,,,,,,,
285,dishes,4224,1297,1819,1108,,,,,,,,,,
286,chips,4182,1574,1771,837,,,,,,,,,,
287,dessert,4150,1093,1647,1410,,,,,,,,,,
288,open,4116,1212,1766,1138,,,,,,,,,,
289,else,4102,1728,1461,913,,,,,,,,,,
290,almost,4084,1519,1566,999,,,,,,,,,,
291,fish,4080,1549,1570,961,,,,,,,,,,
292,everyone,4070,1192,1640,1238,,,,,,,,,,
293,plate,4063,1505,1622,936,,,,,,,,,,
294,years,4057,1195,1558,1304,,,,,,,,,,
295,decent,4040,2298,1388,354,,,,,,,,,,
296,overall,3976,1686,1774,516,,,,,,,,,,
297,yes,3972,1172,1586,1214,,,,,,,,,,
298,busy,3939,1431,1728,780,,,,,,,,,,
299,star,3937,1678,1537,722,,,,,,,,,,
300,during,3929,1182,1772,975,,,,,,,,,,
301,free,3924,1096,1634,1194,,,,,,,,,,
302,fan,3924,1093,1934,897,,,,,,,,,,
303,tables,3917,1619,1557,741,,,,,,,,,,
304,least,3871,1682,1361,828,,,,,,,,,,
305,looked,3844,1711,1506,627,,,,,,,,,,
306,music,3834,1181,1640,1013,,,,,,,,,,
307,without,3831,1232,1505,1094,,,,,,,,,,
308,ice,3816,1075,1514,1227,,,,,,,,,,
309,used,3807,1535,1408,864,,,,,,,,,,
310,makes,3805,1005,1634,1166,,,,,,,,,,
311,having,3804,1407,1436,961,,,,,,,,,,
312,three,3792,1508,1396,888,,,,,,,,,,
313,hard,3789,1416,1456,917,,,,,,,,,,
314,chocolate,3786,809,1556,1421,,,,,,,,,,
315,green,3773,1088,1640,1045,,,,,,,,,,
316,eating,3768,1393,1440,935,,,,,,,,,,
317,dining,3739,1244,1479,1016,,,,,,,,,,
318,far,3738,1225,1410,1103,,,,,,,,,,
319,mexican,3723,1350,1498,875,,,,,,,,,,
320,whole,3694,1333,1375,986,,,,,,,,,,
321,put,3692,1480,1302,910,,,,,,,,,,
322,getting,3684,1366,1455,863,,,,,,,,,,
323,tasted,3676,1818,1213,645,,,,,,,,,,
324,shrimp,3670,1189,1576,905,,,,,,,,,,
325,may,3668,1318,1456,894,,,,,,,,,,
326,finally,3645,1524,1320,801,,,,,,,,,,
327,liked,3613,1322,1742,549,,,,,,,,,,
328,left,3604,1703,1184,717,,,,,,,,,,
329,sit,3603,1239,1494,870,,,,,,,,,,
330,part,3585,1304,1419,862,,,,,,,,,,
331,steak,3573,1076,1488,1009,,,,,,,,,,
332,high,3553,1521,1287,745,,,,,,,,,,
333,husband,3533,1237,1445,851,,,,,,,,,,
334,especially,3531,1125,1580,826,,,,,,,,,,
335,bacon,3523,976,1610,937,,,,,,,,,,
336,store,3507,960,1365,1182,,,,,,,,,,
337,ask,3499,1459,1204,836,,,,,,,,,,
338,recommend,3498,765,1603,1130,,,,,,,,,,
339,such,3494,1072,1302,1120,,,,,,,,,,
340,tacos,3493,1163,1490,840,,,,,,,,,,
341,told,3481,1790,1027,664,,,,,,,,,,
342,restaurants,3465,1200,1326,939,,,,,,,,,,
343,through,3455,1117,1398,940,,,,,,,,,,
344,salsa,3438,1280,1455,703,,,,,,,,,,
345,week,3435,854,1488,1093,,,,,,,,,,
346,must,3410,960,1328,1122,,,,,,,,,,
347,might,3379,1312,1268,799,,,,,,,,,,
348,clean,3367,914,1523,930,,,,,,,,,,
349,yet,3362,959,1339,1064,,,,,,,,,,
350,cooked,3361,1084,1341,936,,,,,,,,,,
351,bring,3357,1075,1298,984,,,,,,,,,,
352,course,3352,955,1311,1086,,,,,,,,,,
353,fantastic,3347,469,1457,1421,,,,,,,,,,
354,coming,3326,1014,1381,931,,,,,,,,,,
355,own,3324,966,1371,987,,,,,,,,,,
356,trying,3313,1364,1241,708,,,,,,,,,,
357,either,3270,1514,1108,648,,,,,,,,,,
358,waitress,3256,1807,964,485,,,,,,,,,,
359,water,3252,1412,1079,761,,,,,,,,,,
360,comes,3242,1068,1277,897,,,,,,,,,,
361,wonderful,3241,409,1324,1508,,,,,,,,,,
362,decor,3236,1074,1371,791,,,,,,,,,,
363,several,3190,1010,1320,860,,,,,,,,,,
364,live,3189,858,1339,992,,,,,,,,,,
365,seemed,3153,1691,1105,357,,,,,,,,,,
366,sat,3145,1338,1197,610,,,,,,,,,,
367,potato,3142,970,1398,774,,,,,,,,,,
368,thai,3136,1063,1364,709,,,,,,,,,,
369,local,3130,832,1316,982,,,,,,,,,,
370,yummy,3123,522,1675,926,,,,,,,,,,
371,although,3105,1039,1419,647,,,,,,,,,,
372,started,3095,1003,1206,886,,,,,,,,,,
373,real,3088,1012,1201,875,,,,,,,,,,
374,stuff,3084,917,1353,814,,,,,,,,,,
375,lots,3079,823,1441,815,,,,,,,,,,
376,flavors,3077,709,1262,1106,,,,,,,,,,
377,reviews,3066,1239,1038,789,,,,,,,,,,
378,less,3056,1244,1151,661,,,,,,,,,,
379,end,3051,1101,1178,772,,,,,,,,,,
380,options,3041,962,1352,727,,,,,,,,,,
381,stop,3039,847,1309,883,,,,,,,,,,
382,today,3016,995,1188,833,,,,,,,,,,
383,light,3012,787,1397,828,,,,,,,,,,
384,close,3002,1036,1264,702,,,,,,,,,,
385,seating,2999,830,1456,713,,,,,,,,,,
386,group,2981,1131,1256,594,,,,,,,,,,
387,beans,2979,1040,1233,706,,,,,,,,,,
388,use,2959,1099,1161,699,,,,,,,,,,
389,keep,2951,948,1237,766,,,,,,,,,,
390,valley,2928,678,1110,1140,,,,,,,,,,
391,roll,2925,1102,1186,637,,,,,,,,,,
392,fact,2916,1104,1098,714,,,,,,,,,,
393,someone,2912,1352,1003,557,,,,,,,,,,
394,tea,2906,886,1292,728,,,,,,,,,,
395,line,2901,1182,1128,591,,,,,,,,,,
396,tell,2900,1023,1062,815,,,,,,,,,,
397,plus,2885,877,1217,791,,,,,,,,,,
398,instead,2875,1312,1059,504,,,,,,,,,,
399,grilled,2866,744,1319,803,,,,,,,,,,
400,seems,2864,1201,1185,478,,,,,,,,,,
401,done,2856,1000,1083,773,,,,,,,,,,
402,cheap,2852,1019,1183,650,,,,,,,,,,
403,brought,2851,1117,1009,725,,,,,,,,,,
404,family,2849,768,1198,883,,,,,,,,,,
405,until,2849,1112,1035,702,,,,,,,,,,
406,guess,2847,1477,945,425,,,,,,,,,,
407,okay,2823,1759,764,300,,,,,,,,,,
408,party,2810,1083,1098,629,,,,,,,,,,
409,pm,2797,1023,1139,635,,,,,,,,,,
410,glass,2781,1004,1067,710,,,,,,,,,,
411,sandwiches,2781,689,1344,748,,,,,,,,,,
412,white,2780,848,1151,781,,,,,,,,,,
413,walk,2774,872,1137,765,,,,,,,,,,
414,!!!,2761,511,995,1255,,,,,,,,,,
415,style,2755,835,1164,756,,,,,,,,,,
416,waiting,2730,1250,962,518,,,,,,,,,,
417,front,2727,1022,1065,640,,,,,,,,,,
418,rolls,2726,969,1175,582,,,,,,,,,,
419,wrong,2719,1165,914,640,,,,,,,,,,
420,regular,2714,823,1152,739,,,,,,,,,,
421,seated,2705,1222,968,515,,,,,,,,,,
422,quick,2705,850,1270,585,,,,,,,,,,
423,second,2697,1035,975,687,,,,,,,,,,
424,extra,2696,905,1104,687,,,,,,,,,,
425,yelp,2694,833,1066,795,,,,,,,,,,
426,fast,2691,832,1229,630,,,,,,,,,,
427,perfectly,2686,390,1214,1082,,,,,,,,,,
428,potatoes,2679,828,1094,757,,,,,,,,,,
429,start,2671,934,1018,719,,,,,,,,,,
430,list,2665,744,1091,830,,,,,,,,,,
431,cake,2651,668,1095,888,,,,,,,,,,
432,door,2645,930,1067,648,,,,,,,,,,
433,deal,2641,947,1092,602,,,,,,,,,,
434,wish,2634,845,1095,694,,,,,,,,,,
435,beers,2626,831,1180,615,,,,,,,,,,
436,waiter,2618,1282,839,497,,,,,,,,,,
437,name,2614,808,1048,758,,,,,,,,,,
438,reason,2603,1057,1068,478,,,,,,,,,,
439,felt,2580,1191,868,521,,,,,,,,,,
440,four,2567,786,1191,590,,,,,,,,,,
441,disappointed,2566,1161,810,595,,,,,,,,,,
442,shop,2566,571,1143,852,,,,,,,,,,
443,burgers,2563,855,1147,561,,,,,,,,,,
444,italian,2559,665,1043,851,,,,,,,,,,
445,downtown,2559,710,1155,694,,,,,,,,,,
446,wo,2556,1198,763,595,,,,,,,,,,
447,hours,2537,809,1047,681,,,,,,,,,,
448,street,2537,795,1134,608,,,,,,,,,,
449,year,2528,750,980,798,,,,,,,,,,
450,bbq,2521,796,1163,562,,,,,,,,,,
451,appetizer,2518,855,1039,624,,,,,,,,,,
452,saturday,2493,803,1044,646,,,,,,,,,,
453,kids,2491,853,985,653,,,,,,,,,,
454,return,2491,1022,973,496,,,,,,,,,,
455,bite,2470,720,994,756,,,,,,,,,,
456,cold,2465,1185,837,443,,,,,,,,,,
457,kitchen,2463,997,848,618,,,,,,,,,,
458,ate,2458,918,893,647,,,,,,,,,,
459,size,2456,834,1088,534,,,,,,,,,,
460,remember,2454,737,1043,674,,,,,,,,,,
461,soon,2433,641,1038,754,,,,,,,,,,
462,sunday,2425,699,1036,690,,,,,,,,,,
463,packed,2417,740,1100,577,,,,,,,,,,
464,gave,2416,927,933,556,,,,,,,,,,
465,able,2410,747,1016,647,,,,,,,,,,
466,point,2407,1092,811,504,,,,,,,,,,
467,arrived,2405,1140,803,462,,,,,,,,,,
468,warm,2397,742,1001,654,,,,,,,,,,
469,saw,2395,945,915,535,,,,,,,,,,
470,later,2393,1046,813,534,,,,,,,,,,
471,egg,2391,715,1079,597,,,,,,,,,,
472,often,2389,622,1014,753,,,,,,,,,,
473,serve,2383,836,957,590,,,,,,,,,,
474,pasta,2375,826,965,584,,,,,,,,,,
475,expect,2373,982,901,490,,,,,,,,,,
476,choice,2373,762,996,615,,,,,,,,,,
477,offer,2372,747,986,639,,,,,,,,,,
478,date,2361,540,1040,781,,,,,,,,,,
479,pay,2348,1120,747,481,,,,,,,,,,
480,walked,2346,1046,779,521,,,,,,,,,,
481,portions,2344,781,1017,546,,,,,,,,,,
482,wife,2339,734,992,613,,,,,,,,,,
483,person,2332,947,879,506,,,,,,,,,,
484,plenty,2301,581,1114,606,,,,,,,,,,
485,mind,2297,878,889,530,,,,,,,,,,
486,guy,2281,931,780,570,,,,,,,,,,
487,seem,2281,1020,848,413,,,,,,,,,,
488,between,2279,802,941,536,,,,,,,,,,
489,impressed,2276,867,874,535,,,,,,,,,,
490,crispy,2274,612,1067,595,,,,,,,,,,
491,gets,2268,729,878,661,,,,,,,,,,
492,ingredients,2262,736,855,671,,,,,,,,,,
493,eggs,2261,779,898,584,,,,,,,,,,
494,fine,2258,1198,713,347,,,,,,,,,,
495,game,2253,809,1018,426,,,,,,,,,,
496,absolutely,2251,535,788,928,,,,,,,,,,
497,already,2250,808,827,615,,,,,,,,,,
498,average,2250,1355,670,225,,,,,,,,,,
499,bowl,2250,742,937,571,,,,,,,,,,
500,butter,2248,651,903,694,,,,,,,,,,
501,heard,2232,754,929,549,,,,,,,,,,
502,french,2231,689,952,590,,,,,,,,,,
503,mean,2216,942,790,484,,,,,,,,,,
504,friday,2211,706,979,526,,,,,,,,,,
505,tomato,2209,588,979,642,,,,,,,,,,
506,garlic,2209,643,931,635,,,,,,,,,,
507,care,2208,856,758,594,,,,,,,,,,
508,sitting,2202,963,785,454,,,,,,,,,,
509,salads,2202,589,1025,588,,,,,,,,,,
510,attentive,2191,555,1025,611,,,,,,,,,,
511,amount,2185,709,942,534,,,,,,,,,,
512,cute,2176,683,977,516,,,,,,,,,,
513,add,2171,710,915,546,,,,,,,,,,
514,crust,2166,657,943,566,,,,,,,,,,
515,seriously,2165,810,647,708,,,,,,,,,,
516,ago,2162,732,873,557,,,,,,,,,,
517,specials,2160,579,1053,528,,,,,,,,,,
518,crowd,2160,807,954,399,,,,,,,,,,
519,hit,2156,731,953,472,,,,,,,,,,
520,variety,2154,525,1016,613,,,,,,,,,,
521,looks,2143,804,870,469,,,,,,,,,,
522,business,2143,838,734,571,,,,,,,,,,
523,evening,2142,628,894,620,,,,,,,,,,
524,show,2140,801,821,518,,,,,,,,,,
525,easy,2134,571,936,627,,,,,,,,,,
526,etc,2129,688,877,564,,,,,,,,,,
527,totally,2122,646,874,602,,,,,,,,,,
528,ambiance,2113,643,896,574,,,,,,,,,,
529,flavorful,2112,501,1024,587,,,,,,,,,,
530,drive,2107,643,821,643,,,,,,,,,,
531,along,2105,570,922,613,,,,,,,,,,
532,rather,2099,1055,719,325,,,,,,,,,,
533,unique,2091,437,998,656,,,,,,,,,,
534,beautiful,2081,421,804,856,,,,,,,,,,
