id,word,total num,low num,mid num,hig num
134,love,17412,3080,7066,7266
135,around,8726,3079,3434,2213
136,best,12993,3006,4687,5300
137,sure,8745,2992,3626,2127
138,server,6264,2991,2126,1147
139,right,9783,2983,4052,2748
140,hour,8529,2982,3787,1760
141,now,9291,2969,3482,2840
142,stars,6651,2962,2418,1271
143,maybe,5628,2957,1860,811
144,drink,7687,2952,3062,1673
145,experience,7712,2942,2803,1967
146,made,9564,2929,3927,2708
147,since,8430,2904,3496,2030
148,happy,10398,2901,4915,2582
149,should,6145,2885,2093,1167
150,always,13765,2872,6113,4780
151,thing,7823,2856,3076,1891
152,meal,8525,2854,3353,2318
153,wait,8964,2853,3412,2699
154,being,7000,2714,2686,1600
155,burger,7806,2713,3435,1658
156,last,7813,2703,3034,2076
157,side,8086,2685,3650,1751
158,small,7477,2630,3153,1694
159,times,7821,2626,3287,1908
160,lot,7194,2602,3009,1583
161,dinner,8561,2591,3616,2354
162,take,7569,2586,2984,1999
163,where,7124,2574,2762,1788
164,most,7946,2539,3238,2169
165,into,7353,2533,2892,1928
166,beer,7823,2527,3356,1940
167,does,6480,2500,2368,1612
168,asked,4446,2492,1281,673
169,fries,7007,2486,3113,1408
170,sandwich,7553,2461,3364,1728
171,flavor,6274,2447,2317,1510
172,taste,6073,2444,2254,1375
173,next,8006,2438,3484,2084
174,big,7534,2433,3255,1846
175,many,7606,2422,3058,2126
176,thought,5432,2419,1991,1022
177,why,5075,2416,1646,1013
178,enough,6666,2408,2604,1654
179,took,5415,2397,1924,1094
180,area,7411,2371,3289,1751
181,probably,5392,2316,1991,1085
182,find,7462,2310,3054,2098
183,day,8308,2308,3491,2509
184,decent,4040,2298,1388,354
185,wanted,4910,2274,1719,917
186,however,4716,2257,1788,671
187,friend,6200,2251,2520,1429
188,ca,8117,2246,3133,2738
189,bread,6883,2245,2884,1754
190,hot,7087,2243,3073,1771
191,kind,5207,2197,2000,1010
192,price,5109,2156,1890,1063
193,long,5872,2151,2294,1427
194,definitely,8820,2144,4397,2279
195,actually,5462,2134,2029,1299
196,same,4956,2132,1746,1078
197,things,6105,2117,2482,1506
198,both,7355,2116,3251,1988
199,tried,6867,2106,2881,1880
200,staff,7467,2094,3050,2323
201,new,7689,2085,3063,2541
202,location,6279,2085,2592,1602
203,tasty,7540,2080,3781,1679
204,fresh,9777,2067,4464,3246
205,places,6052,2042,2364,1646
206,ever,7080,2038,2259,2783
207,sweet,7718,2030,3388,2300
208,prices,5752,2027,2397,1328
209,dish,5467,2013,2144,1310
210,friendly,8781,2011,4106,2664
211,meat,5653,1986,2310,1357
212,feel,6068,1971,2440,1657
213,sushi,5009,1962,1923,1124
214,everything,7707,1918,2997,2792
215,friends,5981,1858,2456,1667
216,anything,4469,1851,1511,1107
217,special,5335,1848,1988,1499
218,those,5576,1844,2353,1379
219,rice,5093,1840,2102,1151
220,atmosphere,6251,1837,2763,1651
221,patio,5978,1831,2754,1393
222,away,4767,1819,1751,1197
223,tasted,3676,1818,1213,645
224,old,5376,1808,2215,1353
225,waitress,3256,1807,964,485
226,told,3481,1790,1027,664
227,quite,5271,1773,2391,1107
228,every,7268,1768,2618,2882
229,decided,4569,1764,1865,940
230,okay,2823,1759,764,300
231,review,4649,1754,1614,1281
232,looking,5225,1748,2259,1218
233,wine,7337,1747,3015,2575
234,different,5771,1746,2492,1533
235,half,4543,1732,1816,995
236,else,4102,1728,1461,913
237,inside,5319,1723,2282,1314
238,once,4890,1721,1915,1254
239,looked,3844,1711,1506,627
240,left,3604,1703,1184,717
241,seemed,3153,1691,1105,357
242,overall,3976,1686,1774,516
243,need,5079,1684,2037,1358
244,cool,5862,1682,2675,1505
245,least,3871,1682,1361,828
246,star,3937,1678,1537,722
247,home,5556,1678,2257,1621
248,worth,5441,1676,2150,1615
249,check,4724,1655,1861,1208
250,breakfast,5950,1653,2680,1617
251,delicious,11384,1642,5506,4236
252,couple,4445,1632,1814,999
253,tables,3917,1619,1557,741
254,let,4304,1608,1545,1151
255,these,4842,1600,1885,1357
256,quality,4319,1591,1559,1169
257,beef,4940,1586,2139,1215
258,chips,4182,1574,1771,837
259,served,4719,1568,1914,1237
260,fish,4080,1549,1570,961
261,look,4389,1539,1766,1084
262,visit,5092,1538,2108,1446
263,used,3807,1535,1408,864
264,finally,3645,1524,1320,801
265,high,3553,1521,1287,745
266,almost,4084,1519,1566,999
267,either,3270,1514,1108,648
268,three,3792,1508,1396,888
269,outside,4890,1507,2153,1230
270,full,5314,1506,2272,1536
271,plate,4063,1505,1622,936
272,huge,5537,1484,2505,1548
273,put,3692,1480,1302,910
274,guess,2847,1477,945,425
275,parking,4918,1473,2273,1172
276,soup,4390,1468,1836,1086
277,ask,3499,1459,1204,836
278,large,4895,1447,2306,1142
279,oh,4719,1441,1794,1484
280,enjoy,5203,1441,2343,1419
281,busy,3939,1431,1728,780
282,fried,4412,1420,1903,1089
283,phoenix,6010,1417,2401,2192
284,hard,3789,1416,1456,917
285,selection,5490,1415,2536,1539
286,water,3252,1412,1079,761
287,spicy,4794,1410,2209,1175
288,each,4832,1408,1987,1437
289,having,3804,1407,1436,961
290,eating,3768,1393,1440,935
291,top,5013,1390,1897,1726
292,coffee,5450,1385,2445,1620
293,room,4429,1384,1792,1253
294,work,4258,1370,1749,1139
295,getting,3684,1366,1455,863
296,trying,3313,1364,1241,708
297,average,2250,1355,670,225
298,someone,2912,1352,1003,557
299,mexican,3723,1350,1498,875
300,found,4344,1349,1842,1153
301,sat,3145,1338,1197,610
302,items,4509,1338,2054,1117
303,cream,4955,1338,2029,1588
304,whole,3694,1333,1375,986
305,scottsdale,4286,1329,1812,1145
306,fun,5242,1327,2526,1389
307,liked,3613,1322,1742,549
308,bland,1703,1320,328,55
309,may,3668,1318,1456,894
310,instead,2875,1312,1059,504
311,might,3379,1312,1268,799
312,part,3585,1304,1419,862
313,dishes,4224,1297,1819,1108
314,house,4607,1291,1950,1366
315,pork,4546,1287,2099,1160
316,waiter,2618,1282,839,497
317,salsa,3438,1280,1455,703
318,spot,4977,1267,2342,1368
319,usually,4403,1261,1947,1195
320,waiting,2730,1250,962,518
321,less,3056,1244,1151,661
322,dining,3739,1244,1479,1016
323,sit,3603,1239,1494,870
324,reviews,3066,1239,1038,789
325,husband,3533,1237,1445,851
326,without,3831,1232,1505,1094
327,far,3738,1225,1410,1103
328,seated,2705,1222,968,515
329,open,4116,1212,1766,1138
330,dry,1964,1212,520,232
331,seems,2864,1201,1185,478
332,restaurants,3465,1200,1326,939
333,wo,2556,1198,763,595
334,fine,2258,1198,713,347
335,super,4634,1195,1913,1526
336,years,4057,1195,1558,1304
337,everyone,4070,1192,1640,1238
338,felt,2580,1191,868,521
339,shrimp,3670,1189,1576,905
340,red,4358,1187,1901,1270
341,cold,2465,1185,837,443
342,during,3929,1182,1772,975
343,line,2901,1182,1128,591
344,music,3834,1181,1640,1013
345,yes,3972,1172,1586,1214
346,town,4455,1171,1877,1407
347,wrong,2719,1165,914,640
348,tacos,3493,1163,1490,840
349,disappointed,2566,1161,810,595
350,arrived,2405,1140,803,462
351,group,2981,1131,1256,594
352,enjoyed,4506,1125,2307,1074
353,especially,3531,1125,1580,826
354,pay,2348,1120,747,481
355,through,3455,1117,1398,940
356,brought,2851,1117,1009,725
357,awesome,6807,1112,2898,2797
358,until,2849,1112,1035,702
359,amazing,7723,1106,2680,3937
360,fact,2916,1104,1098,714
361,roll,2925,1102,1186,637
362,end,3051,1101,1178,772
363,use,2959,1099,1161,699
364,free,3924,1096,1634,1194
365,dessert,4150,1093,1647,1410
366,fan,3924,1093,1934,897
367,point,2407,1092,811,504
368,green,3773,1088,1640,1045
369,cooked,3361,1084,1341,936
370,party,2810,1083,1098,629
371,waited,1799,1081,462,256
372,favorite,7152,1080,2982,3090
373,steak,3573,1076,1488,1009
374,bring,3357,1075,1298,984
375,ice,3816,1075,1514,1227
376,decor,3236,1074,1371,791
377,such,3494,1072,1302,1120
378,comes,3242,1068,1277,897
379,thai,3136,1063,1364,709
380,reason,2603,1057,1068,478
381,rather,2099,1055,719,325
382,walked,2346,1046,779,521
383,later,2393,1046,813,534
384,beans,2979,1040,1233,706
385,although,3105,1039,1419,647
386,close,3002,1036,1264,702
387,second,2697,1035,975,687
388,pm,2797,1023,1139,635
389,tell,2900,1023,1062,815
390,front,2727,1022,1065,640
391,return,2491,1022,973,496
392,money,1898,1020,533,345
393,seem,2281,1020,848,413
394,cheap,2852,1019,1183,650
395,coming,3326,1014,1381,931
396,real,3088,1012,1201,875
397,several,3190,1010,1320,860
398,makes,3805,1005,1634,1166
399,glass,2781,1004,1067,710
400,started,3095,1003,1206,886
401,done,2856,1000,1083,773
402,kitchen,2463,997,848,618
403,today,3016,995,1188,833
404,bill,1813,992,549,272
405,manager,1662,992,398,272
406,expect,2373,982,901,490
407,bacon,3523,976,1610,937
408,potato,3142,970,1398,774
409,rolls,2726,969,1175,582
410,own,3324,966,1371,987
411,sitting,2202,963,785,454
412,options,3041,962,1352,727
413,must,3410,960,1328,1122
414,store,3507,960,1365,1182
415,yet,3362,959,1339,1064
416,course,3352,955,1311,1086
417,keep,2951,948,1237,766
418,person,2332,947,879,506
419,deal,2641,947,1092,602
420,saw,2395,945,915,535
421,mean,2216,942,790,484
422,start,2671,934,1018,719
423,guy,2281,931,780,570
424,door,2645,930,1067,648
425,gave,2416,927,933,556
426,slow,1830,922,680,228
427,ate,2458,918,893,647
428,stuff,3084,917,1353,814
429,clean,3367,914,1523,930
430,extra,2696,905,1104,687
431,tea,2906,886,1292,728
432,mind,2297,878,889,530
433,plus,2885,877,1217,791
434,walk,2774,872,1137,765
435,impressed,2276,867,874,535
436,live,3189,858,1339,992
437,unfortunately,1431,857,396,178
438,care,2208,856,758,594
439,appetizer,2518,855,1039,624
440,burgers,2563,855,1147,561
441,week,3435,854,1488,1093
442,kids,2491,853,985,653
443,quick,2705,850,1270,585
444,white,2780,848,1151,781
445,stop,3039,847,1309,883
446,wish,2634,845,1095,694
447,business,2143,838,734,571
448,serve,2383,836,957,590
449,style,2755,835,1164,756
450,!!,4649,835,1788,2026
451,size,2456,834,1088,534
452,loved,4261,834,1973,1454
453,yelp,2694,833,1066,795
454,fast,2691,832,1229,630
455,local,3130,832,1316,982
456,beers,2626,831,1180,615
457,seating,2999,830,1456,713
458,potatoes,2679,828,1094,757
459,servers,1970,826,718,426
460,pasta,2375,826,965,584
461,lots,3079,823,1441,815
462,regular,2714,823,1152,739
463,ended,1947,817,771,359
464,expensive,1786,813,636,337
465,seriously,2165,810,647,708
466,hours,2537,809,1047,681
467,game,2253,809,1018,426
468,chocolate,3786,809,1556,1421
469,already,2250,808,827,615
470,name,2614,808,1048,758
471,leave,2019,807,688,524
472,crowd,2160,807,954,399
473,looks,2143,804,870,469
474,saturday,2493,803,1044,646
475,between,2279,802,941,536
476,show,2140,801,821,518
477,problem,1740,799,625,316
478,bbq,2521,796,1163,562
479,street,2537,795,1134,608
480,empty,1460,791,468,201
481,called,2001,790,727,484
482,light,3012,787,1397,828
483,four,2567,786,1191,590
484,portions,2344,781,1017,546
485,eggs,2261,779,898,584
486,mediocre,954,776,124,54
487,anyway,1980,774,775,431
488,family,2849,768,1198,883
489,recommend,3498,765,1603,1130
490,given,1587,764,546,277
491,choice,2373,762,996,615
492,call,2065,761,762,542
493,overpriced,1055,759,233,63
494,perfect,5872,757,2672,2443
495,heard,2232,754,929,549
496,taco,2005,751,794,460
497,year,2528,750,980,798
498,bartender,1709,748,627,334
499,able,2410,747,1016,647
500,offer,2372,747,986,639
501,customer,1665,747,461,457
502,excellent,4587,745,2155,1687
503,sorry,1317,744,343,230
504,loud,1715,744,688,283
505,list,2665,744,1091,830
506,grilled,2866,744,1319,803
507,bowl,2250,742,937,571
508,warm,2397,742,1001,654
509,needed,1901,741,703,457
510,packed,2417,740,1100,577
511,remember,2454,737,1043,674
512,ingredients,2262,736,855,671
513,hate,1511,736,507,268
514,wife,2339,734,992,613
515,ago,2162,732,873,557
516,hit,2156,731,953,472
517,gets,2268,729,878,661
518,completely,1476,722,419,335
519,bite,2470,720,994,756
520,rest,1813,720,659,434
521,past,2079,719,835,525
522,counter,2023,719,851,453
523,egg,2391,715,1079,597
524,downtown,2559,710,1155,694
525,add,2171,710,915,546
526,flavors,3077,709,1262,1106
527,amount,2185,709,942,534
528,customers,1372,708,399,265
529,ordering,1869,708,780,381
530,friday,2211,706,979,526
531,sunday,2425,699,1036,690
532,cut,1635,696,574,365
533,excited,1558,694,513,351
534,idea,1753,691,632,430
535,french,2231,689,952,590
536,sandwiches,2781,689,1344,748
537,etc,2129,688,877,564
538,portion,1926,687,842,397
539,movie,1938,686,803,449
540,cute,2176,683,977,516
541,tip,1611,679,582,350
542,guys,1753,679,644,430
543,valley,2928,678,1110,1140
544,orders,1452,676,499,277
545,understand,1196,676,333,187
546,interesting,2013,673,902,438
547,weird,1400,672,506,222
548,terrible,880,670,161,49
549,help,1762,669,640,453
550,type,1917,668,830,419
551,cake,2651,668,1095,888
552,italian,2559,665,1043,851
553,making,2006,663,779,564
554,quickly,1976,663,886,427
555,burrito,1753,662,699,392
556,expected,1429,662,522,245
557,mall,2061,658,925,478
558,short,2080,658,793,629
559,crust,2166,657,943,566
560,wings,1940,657,819,464
561,seen,1982,653,767,562
562,gone,1561,652,564,345
563,late,2027,651,884,492
564,butter,2248,651,903,694
565,space,2063,650,935,478
566,under,1786,647,681,458
567,please,1689,646,565,478
568,totally,2122,646,874,602
569,onion,2023,646,914,463
570,hungry,1608,646,627,335
571,ambiance,2113,643,896,574
572,drive,2107,643,821,643
573,garlic,2209,643,931,635
574,soon,2433,641,1038,754
575,others,1722,635,705,382
576,greasy,1274,635,461,178
577,sort,1552,635,618,299
578,cup,1689,634,669,386
579,anyone,1754,632,661,461
580,unless,1298,632,447,219
581,pick,1957,630,778,549
582,evening,2142,628,894,620
583,seat,1589,627,615,347
584,lettuce,1533,626,590,317
585,girl,1605,626,607,372
586,often,2389,622,1014,753
587,pieces,1466,620,524,322
588,main,1857,620,784,453
589,run,1806,618,666,522
590,veggies,1940,617,880,443
591,behind,1628,616,624,388
592,five,2044,616,756,672
593,meh,767,615,121,31
594,dressing,1695,614,723,358
595,hostess,1152,613,344,195
596,crispy,2274,612,1067,595
597,corn,2039,610,911,518
598,stopped,1832,608,803,421
599,kinda,1417,607,563,247
600,set,1703,607,685,411
601,owner,1999,604,712,683
602,sometimes,2059,604,942,513
603,onions,1972,603,864,505
604,believe,2066,603,755,708
605,chinese,1684,603,716,365
606,extremely,1758,602,603,553
607,near,1807,601,759,447
608,tempe,1934,598,784,552
609,buy,1843,593,691,559
610,noticed,1403,590,533,280
611,days,1924,590,817,517
612,salads,2202,589,1025,588
613,watch,1893,589,883,421
614,birthday,1903,589,688,626
615,worst,745,588,114,43
616,tomato,2209,588,979,642
617,head,1686,582,658,446
618,plenty,2301,581,1114,606
619,saying,1248,580,401,267
620,entire,1736,579,639,518
621,specials,2160,579,1053,528
622,twice,1585,578,605,402
623,read,1548,578,575,395
624,priced,1598,577,679,342
625,tiny,1333,577,474,282
626,charge,1112,575,331,206
627,perhaps,1199,572,445,182
628,shop,2566,571,1143,852
629,easy,2134,571,936,627
630,black,1836,571,755,510
631,ready,1542,570,574,398
632,feeling,1587,570,603,414
633,along,2105,570,922,613
634,poor,843,567,188,88
635,stand,1285,567,453,265
636,appetizers,1900,567,883,450
637,doing,1554,566,580,408
638,taking,1492,566,544,382
639,together,1672,566,694,412
640,paying,961,566,272,123
641,hope,1538,566,572,400
642,mixed,1551,565,667,319
643,except,1266,564,457,245
644,salt,1241,561,421,259
645,middle,1498,561,560,377
646,entrees,1556,560,620,376
647,based,1304,558,462,284
648,hand,1451,557,536,358
649,attentive,2191,555,1025,611
650,plates,1569,554,628,387
651,option,1434,553,623,258
652,bucks,1373,550,507,316
653,disappointing,775,550,177,48
654,entree,1607,550,651,406
655,chain,1367,550,566,251
656,card,1253,548,417,288
657,walking,1604,548,637,419
658,piece,1357,546,459,352
659,man,1692,545,635,512
660,mine,1468,545,594,329
661,horrible,739,545,145,49
662,early,2041,543,965,533
663,salty,1234,543,493,198
664,write,1129,540,331,258
665,salmon,1980,540,791,649
666,veggie,1750,540,782,428
667,across,1530,540,622,368
668,date,2361,540,1040,781
669,offered,1427,539,572,316
670,chance,1363,539,484,340
671,paid,941,539,246,156
672,simple,1902,538,761,603
673,dark,1632,538,725,369
674,kept,1442,538,553,351
675,yeah,1518,535,593,390
676,absolutely,2251,535,788,928
677,case,1395,534,542,319
678,dirty,953,533,258,162
679,vegetarian,1686,529,700,457
680,variety,2154,525,1016,613
681,says,1118,524,351,243
682,certainly,1287,524,523,240
683,surprised,1769,523,833,413
684,serving,1301,522,485,294
685,whatever,1476,522,533,421
686,thin,1468,522,623,323
687,yummy,3123,522,1675,926
688,eaten,1697,521,645,531
689,pricey,1583,518,757,308
690,toppings,1525,517,594,414
691,expecting,1048,515,379,154
692,club,1410,515,622,273
693,meals,1569,513,588,468
694,seats,1430,513,600,317
695,pho,1750,513,824,413
696,!!!,2761,511,995,1255
697,pie,1742,511,750,481
698,turned,1137,510,402,225
699,sausage,1824,510,800,514
700,noodles,1559,508,741,310
701,joint,1501,508,623,370
702,basically,1122,506,398,218
703,standard,1278,505,557,216
704,awful,633,505,94,34
705,dog,2030,504,750,776
706,due,1184,503,441,240
707,mostly,1151,503,449,199
708,rating,952,502,310,140
709,change,1361,502,557,302
710,car,1528,502,628,398
711,ones,1503,502,598,403
712,buffet,1562,502,612,448
713,giving,1177,501,441,235
714,flavorful,2112,501,1024,587
715,tuna,1593,498,664,431
716,thinking,1298,497,431,370
717,typical,1337,497,595,245
718,apparently,1003,496,340,167
719,crowded,1595,496,757,342
720,honestly,1096,495,344,257
721,crab,1543,495,634,414
722,lack,892,491,298,103
723,job,1511,490,633,388
724,miss,1397,489,559,349
725,toast,1377,489,589,299
726,added,1578,488,661,429
727,stick,1120,488,423,209
728,knew,1741,487,722,532
729,theater,1400,485,567,348
730,weekend,1836,484,810,542
731,oil,1364,484,523,357
732,chili,1597,484,699,414
733,cost,1115,484,391,240
734,morning,1866,483,857,526
735,fair,1172,483,455,234
736,slightly,1367,483,587,297
737,rude,628,482,115,31
738,choices,1728,482,795,451
739,mom,1558,482,658,418
740,frozen,1171,481,394,296
741,choose,1839,480,847,512
742,sports,1178,480,545,153
743,curry,1502,480,654,368
744,shot,1057,479,379,199
745,literally,1119,478,347,294
746,needs,1144,476,413,255
747,concept,1014,475,354,185
748,note,1457,473,626,358
749,chef,1829,472,589,768
750,bottle,1609,472,643,494
751,working,1386,471,578,337
752,fantastic,3347,469,1457,1421
753,supposed,775,469,208,98
754,hear,1325,468,564,293
755,brunch,1939,468,818,653
756,opinion,1014,467,353,194
757,sign,1241,464,497,280
758,solid,1314,464,663,187
759,dip,1437,463,612,362
760,prefer,1187,461,524,202
761,arizona,1812,461,695,656
762,glasses,1150,460,436,254
763,exactly,1324,460,497,367
764,received,916,459,284,173
765,goes,1370,459,549,362
766,somewhere,966,458,322,186
767,low,1193,457,437,299
768,means,1145,455,442,248
769,floor,1081,455,404,222
770,tomatoes,1478,454,628,396
771,alright,679,454,172,53
772,medium,1213,454,475,284
773,pita,1549,453,694,402
774,neighborhood,1603,453,744,406
775,cafe,1575,451,643,481
776,authentic,1451,450,579,422
777,happened,865,450,257,158
778,mix,1581,450,737,394
779,stay,1291,448,535,308
780,prepared,1666,447,689,530
781,total,1204,446,421,337
782,above,1295,446,536,313
783,number,1186,443,448,295
784,girls,1070,442,398,230
785,fairly,1112,441,509,162
786,pepper,1368,440,557,371
787,tortilla,1172,440,500,232
788,sad,860,440,243,177
789,soft,1692,439,742,511
790,life,1624,438,533,653
791,thick,1211,438,505,268
792,soda,1189,438,495,256
793,unique,2091,437,998,656
794,filled,1576,437,707,432
795,wow,1772,436,585,751
796,seafood,1415,436,605,374
797,tastes,1336,435,527,374
798,watching,1358,435,618,305
799,sour,1076,434,402,240
800,odd,871,434,328,109
801,item,1170,432,428,310
802,crazy,1395,432,618,345
803,available,1469,432,588,449
804,wall,1429,432,636,361
805,including,1677,431,739,507
806,asian,1298,430,565,303
807,taken,1125,430,408,287
808,spend,1254,429,444,381
809,cook,1047,429,351,267
810,split,1658,426,780,452
811,barely,741,426,210,105
812,blue,1481,426,648,407
813,ribs,1328,425,566,337
814,iced,1349,424,591,334
815,event,1441,424,516,501
816,opened,1334,423,547,364
817,simply,1308,423,393,492
818,shopping,1663,422,787,454
819,beautiful,2081,421,804,856
820,considering,1044,421,418,205
821,value,1159,420,440,299
822,despite,1031,419,397,215
823,grill,1228,418,517,293
824,finish,1255,418,484,353
825,worse,581,417,112,52
826,nearly,967,416,336,215
827,th,1670,415,744,511
828,trip,1530,413,674,443
829,turkey,1469,413,681,375
830,market,1727,412,735,580
831,mac,1533,412,708,413
832,grab,1381,411,639,331
833,talking,1118,410,413,295
834,wonderful,3241,409,1324,1508
835,orange,1381,409,600,372
836,longer,978,407,352,219
837,minute,1089,407,393,289
838,bun,1152,407,506,239
839,tasting,1228,406,478,344
840,park,1654,406,687,561
841,hell,894,406,279,209
842,sides,1375,405,626,344
843,box,1078,405,393,280
844,boyfriend,1227,404,447,376
845,months,1262,404,479,379
846,plain,850,404,262,184
847,upon,1150,403,443,304
848,la,1355,402,557,396
849,bathroom,955,402,393,160
850,asking,738,401,216,121
851,talk,1144,401,392,351
852,lacking,669,401,217,51
853,bf,913,400,327,186
854,reasonable,1663,400,793,470
855,soggy,660,400,195,65
856,mouth,1655,399,599,657
857,hummus,1518,398,678,442
858,bottom,833,397,270,166
859,fruit,1454,397,635,422
860,sauces,1184,396,495,293
861,craving,1312,396,645,271
862,drinking,1148,396,475,277
863,spinach,1376,396,606,374
864,gross,586,395,133,58
865,slices,1101,393,479,229
866,otherwise,893,391,349,153
867,indian,1215,391,534,290
868,perfectly,2686,390,1214,1082
869,texture,1112,390,463,259
870,somewhat,861,390,330,141
871,world,1675,388,606,681
872,building,1254,387,529,338
873,playing,1252,387,564,301
874,mention,1158,385,387,386
875,vibe,1520,385,723,412
876,pool,1304,385,565,354
877,??,735,383,207,145
878,establishment,948,383,317,248
879,immediately,1211,381,486,344
880,turn,897,380,322,195
881,recently,1408,379,631,398
882,single,1097,377,355,365
883,hoping,684,376,226,82
884,games,1067,376,476,215
885,forever,749,376,227,146
886,slice,1089,375,449,265
887,expectations,724,375,222,127
888,closed,1000,375,391,234
889,thanks,1377,374,524,479
890,issue,834,374,319,141
891,play,1223,374,529,320
892,filling,1292,373,598,321
893,chairs,1063,373,464,226
894,bag,926,373,347,206
895,share,1585,373,695,517
896,?!,891,373,296,222
897,alone,1084,372,413,299
898,guacamole,1061,372,478,211
899,bars,1092,372,475,245
900,st,1172,372,461,339
901,fat,931,371,368,192
902,hang,1209,370,569,270
903,outdoor,1513,370,731,412
904,takes,1077,370,419,288
905,attention,902,370,350,182
906,az,1567,370,672,525
907,tv,984,369,425,190
908,afternoon,1287,368,597,322
909,comfortable,1632,368,770,494
910,roasted,1721,368,768,585
911,mill,937,368,370,199
912,clearly,720,368,210,142
913,employees,940,368,300,272
914,boring,590,368,151,71
915,matter,1060,367,370,323
916,heat,1140,367,503,270
917,mentioned,999,367,379,253
918,limited,1007,367,434,206
919,none,824,367,272,185
920,avocado,1183,365,516,302
921,center,1250,365,561,324
922,covered,1094,365,430,299
